Departement,arrondissement,commune,section_communale,Institution,Categorie,Statut,code_MSPP,code_iSante,Reseau,Lat,Long
Artibonite ,Gonaïves,Gonaïves,3e-Petite-Rivière-Bayonnais,Bayonnais,CSL,Privé à but lucratif,511302,,,,
Artibonite ,Gonaïves,Gonaïves,5ème-Labranle,Labranle,Disp.,Public,511504,51103,,19.4284,-72.5402
Artibonite ,Gonaïves,Gonaïves,1ère-Pont-Tamarin,Eben-Ezer,CAL,Mixte,511106,51105,,19.4538,-72.69
Artibonite ,Gonaïves,Gonaïves,1ère-Pont-Tamarin,Raboteau,HCR,Public,511108,51109,URC,19.4383,-72.6802
Artibonite ,Gonaïves,Gonaïves,4ème-Poteaux,Poteaux,Disp.,Public,511410,51111,,19.4625,-72.7692
Artibonite ,Gonaïves,Gonaïves,2ème-Bassin,Disp. La Pierre,Disp.,Public,511211,51108,,19.443,-72.695
Artibonite ,Gonaïves,Gonaïves,2ème-Bassin,La Providence,HD,Public,511201,51100,UGP MSPP,19.45,-72.69
Artibonite ,Gonaïves,Gonaïves,4ème-Poteaux,Bardon Marchand,Disp,Privé,511416,,,,
Artibonite ,Gonaïves,Gonaïves,1ère-Pont-Tamarin,Pont Gaudin,CSL,Public,511103,,,,
Artibonite ,Gonaïves,Gonaïves,1ère-Pont-Tamarin,Mandrin,CSL,Public,511115,,,,
Artibonite ,Gonaïves,Gonaïves,1ère-Pont-Tamarin,Ka-Soleil,CSL,Public,511105,51106,ICC,19.4374,-72.6353
Artibonite ,Gonaïves,Gonaïves,2ème-Bassin,Bon Berger,CSL,Privé à but lucratif,511207,51107,,19.5382,-72.6956
Artibonite ,Gonaïves,Gonaïves,1ère-Pont-Tamarin,Trou Sable,Disp.,Privé sans but lucratif,511109,51110,,19.5219,-72.6158
Artibonite ,Gonaïves,Gonaïves,1ère-Pont-Tamarin,Disp. Brunette,Disp.,Privé à but lucratif,511112,,,,
Artibonite ,Gonaïves,Gonaïves,4ème-Poteaux,Disp. Terre Blanche,Disp.,Privé sans but lucratif,511413,,,,
Artibonite ,Gonaïves,Gonaïves,1ère-Pont-Tamarin,Disp. Tarasse,Disp.,Privé sans but lucratif,511114,,,,
Artibonite ,Gonaïves,Ennery,4ème-Puilboreau,Toussaint Louverture,HCR,Public,512401,51201,,19.482,-72.4813
Artibonite ,Gonaïves,Ennery,4ème-Puilboreau,Puilboreau (NF),CSL,Public,512407,,,,
Artibonite ,Gonaïves,Ennery,4ème-Puilboreau (Ville),St François d’Assise,CSL,Privé à but lucratif,512404,51204,ICC,19.4847,-72.4837
Artibonite ,Gonaïves,Ennery,3ème-Chemin-Neuf,Disp. Chemin neuf,Disp.,Mixte,512305,,,,
Artibonite ,Gonaïves,Ennery,3ème-Chemin-Neuf,Disp. Rouf,Disp.,Public,512306,,,,
Artibonite ,Gonaïves,Ennery,2ème-Passe Reine,Passe Reine,Disp.,Public,512202,51202,,19.5144,-72.5452
Artibonite ,Gonaïves,Ennery,1ère-Savane-Carrée,Savane Carrée,Disp.,Public,512103,51203,,19.4413,-72.4396
Artibonite ,Gonaïves,L’Estère,2ème-Pont-de-L’Estère,L’Estère,HCR,Public,513201,,,,
Artibonite ,Gonaïves,L’Estère,2ème-Pont-de-L’Estère,SOSAKA,CAL,Public,513204,,,,
Artibonite ,Gonaïves,L’Estère,2ème-Pont-de-L’Estère,Mapou  Lagon,Disp.,Privé sans but lucratif,513202,,,,
Artibonite ,Gonaïves,L’Estère,1ère Sect. La Croix-Périsse,New Testament,CSL,Privé sans but lucratif,513103,51303,,19.3527,-72.5829
Artibonite ,Gros-Morne,Gros-Morne,5ème-Pendu,Pendu 5e section,Disp.,Privé sans but lucratif,521503,52103,,19.7849,-72.735
Artibonite ,Gros-Morne,Gros-Morne,8ème-Ravine-Gros-Morne,SOS France,CAL,Privé sans but lucratif,521805,52105,,19.6687,-72.6822
Artibonite ,Gros-Morne,Gros-Morne,4ème-L’ Acul,Treuil,Disp.,Public,521406,52106,,19.7596,-72.6544
Artibonite ,Gros-Morne,Gros-Morne,7ème-Moulin,Moulin,CAL,Public,521707,52107,,19.6509,-72.7159
Artibonite ,Gros-Morne,Gros-Morne,8ème-Ravine-Gros-Morne,Pérou,Disp.,Public,521808,,,,
Artibonite ,Gros-Morne,Gros-Morne,4ème-L’acul,Verneillen (NF),Disp.,Privé à but lucratif,521409,52109,,19.7595,-72.6751
Artibonite ,Gros-Morne,Gros-Morne,3ème-Rivière-Blanche,Disp. Corail,Disp.,Mixte,521311,,,,
Artibonite ,Gros-Morne,Gros-Morne,6ème-Savane-Carrée,Clinique Jolivert,CSL,Privé à but lucratif,521612,,,,
Artibonite ,Gros-Morne,Gros-Morne,2ème-Rivière-Mancelle,château (Gros-Morne),Disp,Privé à but lucratif,521217,,,,
Artibonite ,Gros-Morne,Gros-Morne,7ème-Moulin,Disp. Décaussière (NF),Disp.,Privé à but lucratif,521713,,,,
Artibonite ,Gros-Morne,Gros-Morne,4ème-L’Acul,Clinique Anti-tuberculeuse,CSL,Privé sans but lucratif,521414,52114,ICC,19.7156,-72.6988
Artibonite ,Gros-Morne,Gros-Morne,4ème-L’Acul,Disp. Charbe (NF),Disp.,Privé à but lucratif,521410,,,,
Artibonite ,Gros-Morne,Gros-Morne,2ème-Rivière-Mancelle,Disp.  Notre Dame,Disp.,Privé à but lucratif,521215,,,,
Artibonite ,Gros-Morne,Gros-Morne,4ème-L’Acul,Disp. Comm. de Dupuy,Disp.,Privé à but lucratif,521416,,,,
Artibonite ,Gros-Morne,Gros-Morne,3ème-Rivière-Blanche,Alma Mater,HCR,Mixte,521301,52101,CMMB,19.6694,-72.6808
Artibonite ,Gros-Morne,Gros-Morne,6ème-Savane-Carrée,David 6e section,Disp.,Public,521602,52102,,19.7111,-72.7386
Artibonite ,Gros-Morne,Gros-Morne,2ème-Rivière-Mancelle,Rivière  Mancelle,Disp.,Privé à but lucratif,521204,52104,,19.7202,-72.6199
Artibonite ,Gros-Morne,Terre-Neuve,2ème-Bois-Neuf,CS de Terre-Neuve,CAL,Public,522201,,,,
Artibonite ,Gros-Morne,Terre-Neuve,3ème-Lagon,Disp. Lagon,Disp.,Public,522302,,,,
Artibonite ,Gros-Morne,Anse-Rouge,2ème-Sources-Chaudes,Disp. Figuier,Disp.,Public,523203,52303,N/A,19.602,-72.8902
Artibonite ,Gros-Morne,Anse-Rouge,1ère-L’Arbre,Disp. Atrel,Disp.,Public,523108,52308,N/A,19.638,-72.9151
Artibonite ,Gros-Morne,Anse-Rouge,2ème-Sources-Chaudes,CS comm. de Coridon,Disp.,Public,523202,52302,N/A,19.56,-72.9011
Artibonite ,Gros-Morne,Anse-Rouge,1ère-L’Arbre,CS d’Anse Rouge,CAL,Public,523101,52301,N/A,19.63,-73.06
