Departement,commune,section_communale,Institution,Categorie,Statut,code_MSPP,code_iSante,Reseau,Lat,Long
Artibonite,Gonaïves,3ème Rivière de Bayonnais^511-03,Bayonnais,CSL,Privé à but lucratif,511302,,,,
Artibonite,Gonaïves,5ème Labranle^511-05,Labranle,Disp.,Public,511504,51103,,19.4284,-72.5402
Artibonite,Gonaïves,1ère Pont Tamarin^511-01,Eben-Ezer,CAL,Mixte,511106,51105,,19.4538,-72.69
Artibonite,Gonaïves,1ère Pont Tamarin^511-01,Raboteau,HCR,Public,511108,51109,URC,19.4383,-72.6802
Artibonite,Gonaïves,4ème Poteaux^511-04,Poteaux,Disp.,Public,511410,51111,,19.4625,-72.7692
Artibonite,Gonaïves,6ème Bassin^511-02,Disp. La Pierre,Disp.,Public,511211,51108,,19.443,-72.695
Artibonite,Gonaïves,6ème Bassin^511-02,La Providence,HD,Public,511201,51100,UGP MSPP,19.45,-72.69
Artibonite,Gonaïves,4ème Poteaux^511-04,Bardon Marchand,Disp,Privé,511416,,,,
Artibonite,Gonaïves,1ère Pont Tamarin^511-01,Pont Gaudin,CSL,Public,511103,,,,
Artibonite,Gonaïves,1ère Pont Tamarin^511-01,Mandrin,CSL,Public,511115,,,,
Artibonite,Gonaïves,1ère Pont Tamarin^511-01,Ka-Soleil,CSL,Public,511105,51106,ICC,19.4374,-72.6353
Artibonite,Gonaïves,6ème Bassin^511-02,Bon Berger,CSL,Privé à but lucratif,511207,51107,,19.5382,-72.6956
Artibonite,Gonaïves,1ère Pont Tamarin^511-01,Trou Sable,Disp.,Privé sans but lucratif,511109,51110,,19.5219,-72.6158
Artibonite,Gonaïves,1ère Pont Tamarin^511-01,Disp. Brunette,Disp.,Privé à but lucratif,511112,,,,
Artibonite,Gonaïves,4ème Poteaux^511-04,Disp. Terre Blanche,Disp.,Privé sans but lucratif,511413,,,,
Artibonite,Gonaïves,1ère Pont Tamarin^511-01,Disp. Tarasse,Disp.,Privé sans but lucratif,511114,,,,
Artibonite,Ennery,4ème Puiloreau^512-04,Toussaint Louverture,HCR,Public,512401,51201,,19.482,-72.4813
Artibonite,Ennery,4ème Puiloreau^512-04,Puilboreau (NF),CSL,Public,512407,,,,
Artibonite,Ennery,4ème Puiloreau^512-04,St François d’Assise,CSL,Privé à but lucratif,512404,51204,ICC,19.4847,-72.4837
Artibonite,Ennery,3ème Chemin Neuf^512-03,Disp. Chemin neuf,Disp.,Mixte,512305,,,,
Artibonite,Ennery,3ème Chemin Neuf^512-03,Disp. Rouf,Disp.,Public,512306,,,,
Artibonite,Ennery,2ème Passe Reine^512-02,Passe Reine,Disp.,Public,512202,51202,,19.5144,-72.5452
Artibonite,Ennery,1ère Savane Carrée^512-01,Savane Carrée,Disp.,Public,512103,51203,,19.4413,-72.4396
Artibonite,L'Estère,1ère Pont De L'Estere^513-01,L’Estère,HCR,Public,513201,,,,
Artibonite,L'Estère,1ère Pont De L'Estere^513-01,SOSAKA,CAL,Public,513204,,,,
Artibonite,L'Estère,1ère Pont De L'Estere^513-01,Mapou Lagon,Disp.,Privé sans but lucratif,513202,,,,
Artibonite,L'Estère,1ère Pont De L'Estere^513-01,New Testament,CSL,Privé sans but lucratif,513103,51303,,19.3527,-72.5829
Artibonite,Gros Morne,5ème Pendu^521-05,Pendu 5e section,Disp.,Privé sans but lucratif,521503,52103,,19.7849,-72.735
Artibonite,Gros Morne,8ème Ravine Gros Morne^521-08,SOS France,CAL,Privé sans but lucratif,521805,52105,,19.6687,-72.6822
Artibonite,Gros Morne,4ème L'Acul^521-04,Treuil,Disp.,Public,521406,52106,,19.7596,-72.6544
Artibonite,Gros Morne,7ème Moulin^521-07,Moulin,CAL,Public,521707,52107,,19.6509,-72.7159
Artibonite,Gros Morne,8ème Ravine Gros Morne^521-08,Pérou,Disp.,Public,521808,,,,
Artibonite,Gros Morne,4ème L'Acul^521-04,Verneillen (NF),Disp.,Privé à but lucratif,521409,52109,,19.7595,-72.6751
Artibonite,Gros Morne,3ème Rivière Blanche^521-03,Disp. Corail,Disp.,Mixte,521311,,,,
Artibonite,Gros Morne,6ème Savane Carrée^521-06,Clinique Jolivert,CSL,Privé à but lucratif,521612,,,,
Artibonite,Gros Morne,2ème Rivière Mancelle^521-02,château (Gros-Morne),Disp,Privé à but lucratif,521217,,,,
Artibonite,Gros Morne,7ème Moulin^521-07,Disp. Décaussière (NF),Disp.,Privé à but lucratif,521713,,,,
Artibonite,Gros Morne,4ème L'Acul^521-04,Clinique Anti-tuberculeuse,CSL,Privé sans but lucratif,521414,52114,ICC,19.7156,-72.6988
Artibonite,Gros Morne,4ème L'Acul^521-04,Disp. Charbe (NF),Disp.,Privé à but lucratif,521410,,,,
Artibonite,Gros Morne,2ème Rivière Mancelle^521-02,Disp. Notre Dame,Disp.,Privé à but lucratif,521215,,,,
Artibonite,Gros Morne,4ème L'Acul^521-04,Disp. Comm. de Dupuy,Disp.,Privé à but lucratif,521416,,,,
Artibonite,Gros Morne,3ème Rivière Blanche^521-03,Alma Mater,HCR,Mixte,521301,52101,CMMB,19.6694,-72.6808
Artibonite,Gros Morne,6ème Savane Carrée^521-06,David 6e section,Disp.,Public,521602,52102,,19.7111,-72.7386
Artibonite,Gros Morne,2ème Rivière Mancelle^521-02,Rivière Mancelle,Disp.,Privé à but lucratif,521204,52104,,19.7202,-72.6199
Artibonite,Terre Neuve,2ème Bois Neuf^522-02,CS de Terre-Neuve,CAL,Public,522201,,,,
Artibonite,Terre Neuve,3ème Lagon^522-03,Disp. Lagon,Disp.,Public,522302,,,,
Artibonite,Anse Rouge,2ème Sources Chaudes^523-02,Disp. Figuier,Disp.,Public,523203,52303,N/A,19.602,-72.8902
Artibonite,Anse Rouge,1ère L'Arbre^523-01,Disp. Atrel,Disp.,Public,523108,52308,N/A,19.638,-72.9151
Artibonite,Anse Rouge,2ème Sources Chaudes^523-02,CS comm. de Coridon,Disp.,Public,523202,52302,N/A,19.56,-72.9011
Artibonite,Anse Rouge,1ère L'Arbre^523-01,CS d’Anse Rouge,CAL,Public,523101,52301,N/A,19.63,-73.06
Artibonite,Anse Rouge,2ème Sources Chaudes^523-02,Centre de santé Illodep,CSL,Privé à but lucratif,523204,52304,N/A,19.6006,-72.9539
Artibonite,Anse Rouge,1ère L'Arbre^523-01,Disp. Canté (Tanté),Disp.,Public,523107,52307,N/A,19.7173,-72.9454
Artibonite,Anse Rouge,1ère L'Arbre^523-01,Disp. Plaine de l’Arbre,Disp.,Public,523105,52305,N/A,19.6668,-73.022
Artibonite,Anse Rouge,2ème Sources Chaudes^523-02,Disp. Sources Chaudes,Disp.,Public,523206,52306,N/A,19.6363,-72.9164
